Nombre Region,Region,Semana,Comienzo,Fin,2015,2016,2017,2018,2019,2020,PUCA,DUCA,Exceso,p_factor,z_factor,ExcesoN,p_factorN,z_factorN,ExcesoT,p_factorT,z_factorT
Chile,0,1,2020-01-06,2020-01-12,3115.0,3268.0,3306.0,3592.0,3218.0,3264.0,3299.8,178.37656796788082,-35.80000000000018,-0.01084914237226504,-0.2006990066455728,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0,2,2020-01-13,2020-01-19,1820.0,1968.0,1916.0,1764.0,1804.0,2059.0,1854.4,84.55057657993824,204.5999999999999,0.1103321829163071,2.4198533975290055,130.48951380893755,0.07036751176064363,1.543330856952423,99.61659303331999,0.05371904283505176,1.1781893993252381
Chile,0,3,2020-01-20,2020-01-26,1855.0,1895.0,2083.0,1810.0,1932.0,1987.0,1915.0,104.32880714356894,72.0,0.03759791122715405,0.6901257856894633,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0,4,2020-01-27,2020-02-02,1762.0,1874.0,2049.0,1832.0,1927.0,2033.0,1888.8,107.98935132687853,144.20000000000005,0.07634476916560783,1.3353168458574554,49.54489941974748,0.026230887028667663,0.4587943052808741,10.113510268036862,0.005354463293115662,0.09365284765368907
Chile,0,5,2020-02-03,2020-02-09,1881.0,1850.0,1816.0,1860.0,2041.0,1906.0,1889.6,87.83108789033642,16.40000000000009,0.00867908552074518,0.1867220410667883,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0,6,2020-02-10,2020-02-16,1817.0,1736.0,1836.0,1918.0,1888.0,1959.0,1839.0,70.25667228100119,120.0,0.06525285481239804,1.7080228269287159,58.418443119800486,0.03176641822718895,0.8315002863521335,32.764819395080394,0.017816650024513537,0.46635882872495027
Chile,0,7,2020-02-17,2020-02-23,1882.0,1769.0,1880.0,1795.0,1922.0,1818.0,1849.6,64.60108358224342,-31.59999999999991,-0.017084775086505143,-0.489155881724028,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0,8,2020-02-24,2020-03-01,1761.0,1815.0,1861.0,1796.0,1901.0,1855.0,1826.8,54.9836339286519,28.200000000000045,0.015436829428508892,0.5128798877970316,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0,9,2020-03-02,2020-03-08,1743.0,1747.0,1739.0,1860.0,1825.0,2017.0,1782.8,55.957126445163354,234.20000000000005,0.1313663899483958,4.185347155549713,185.15231736492046,0.10385478873957846,3.3088246149731315,164.7200506501049,0.09239401539718695,2.943683157345948
Chile,0,10,2020-03-09,2020-03-15,1862.0,1784.0,1736.0,1806.0,1862.0,1962.0,1810.0,53.79591062525106,152.0,0.08397790055248619,2.825493578105792,104.84667174612423,0.057926337981284104,1.9489710375292104,85.20355452603826,0.047073787030960365,1.5838295799020248
Chile,0,11,2020-03-16,2020-03-22,1762.0,1772.0,1751.0,1852.0,1844.0,1983.0,1796.2,47.94997393117122,186.79999999999995,0.10399732769179376,3.895726831220765,144.77076702926888,0.08059835599001719,3.019204290644183,127.26224365485541,0.07085082042915901,2.6540628330169964
Chile,0,12,2020-03-23,2020-03-29,1799.0,1752.0,1815.0,1727.0,1846.0,1924.0,1787.8,48.03852620553632,136.20000000000005,0.0761830182347019,2.8352243659028686,94.09314896476872,0.0526306907734471,1.958701825326288,76.5522914838175,0.0428192703232003,1.593560367699104
Chile,0,13,2020-03-30,2020-04-05,1753.0,1699.0,1893.0,2060.0,1930.0,2019.0,1867.0,144.1474939081495,152.0,0.08141403320835565,1.0544754950568485,25.651472421881408,0.013739406760514949,0.1779529544802664,0.0,0.0,0.0
Chile,0,14,2020-04-06,2020-04-12,1828.0,1944.0,1979.0,1953.0,1998.0,1951.0,1940.4,66.35736583078024,10.599999999999909,0.005462791177076844,0.15974112093345091,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0,15,2020-04-13,2020-04-19,1818.0,1889.0,1805.0,1911.0,1898.0,2187.0,1864.2,48.95610278606744,322.79999999999995,0.17315738654650786,6.593662110127495,279.8888724092278,0.15013886514817498,5.717139569550912,262.0129696781769,0.14054981744350226,5.351998111923728
Chile,0,16,2020-04-20,2020-04-26,1981.0,1948.0,1894.0,1994.0,2111.0,2088.0,1985.6,80.03311814492798,102.40000000000009,0.05157131345688965,1.2794703289526848,32.24916795334218,0.016241522941852427,0.4029477883761041,3.0257585354543153,0.0015238509948903684,0.03780633074891722
Chile,0,17,2020-04-27,2020-05-03,1835.0,1995.0,1981.0,1938.0,2040.0,1971.0,1957.8,77.7026383078464,13.200000000000045,0.006742261722341427,0.16987840165353962,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0,18,2020-05-04,2020-05-10,1936.0,1891.0,1932.0,1862.0,2045.0,2361.0,1933.2,69.56795239188804,427.79999999999995,0.22129112352576036,6.1493832331032285,366.8221216267516,0.18974866626668302,5.272860692526647,341.41997808623887,0.1766087203011788,4.90771923489946
Chile,0,19,2020-05-11,2020-05-17,1971.0,1974.0,2004.0,1907.0,2241.0,2416.0,2019.4,128.82274643866276,396.5999999999999,0.1963949688026146,3.0786488486242276,283.68395900753046,0.14047933000273866,2.202126308047646,236.6454335973799,0.11718601247765668,1.8369848504204611
Chile,0,20,2020-05-18,2020-05-24,1957.0,2011.0,2129.0,2155.0,2223.0,2687.0,2095.0,108.67382389517726,592.0,0.2825775656324582,5.44749396663378,496.7449437852273,0.2371097583700369,4.5709714260571985,457.06362532222226,0.21816879490320873,4.205829968430014
Chile,0,21,2020-05-25,2020-05-31,2201.0,2050.0,2270.0,2114.0,2383.0,3124.0,2203.6,130.5959417439914,920.4000000000001,0.4176801597386096,7.047692200147152,805.9297133535656,0.3657332153537691,6.171169659570571,758.2437208249695,0.3440931751792383,5.806028201943385
Chile,0,22,2020-06-01,2020-06-07,2016.0,1976.0,2335.0,2296.0,2387.0,2802.0,2202.0,191.32563863737656,600.0,0.2724795640326976,3.1360146202736185,432.2987651441298,0.1963209650972433,2.2594920796970372,362.4378425706259,0.1645948422209927,1.8943506220698514
Chile,0,23,2020-06-08,2020-06-14,2022.0,2256.0,2520.0,2380.0,2334.0,0.0,2302.4,183.81186033550716,,,,,,,,,
Chile,0,24,2020-06-15,2020-06-21,2155.0,2137.0,2664.0,2333.0,2486.0,0.0,2355.0,223.9698640442504,,,,,,,,,
Chile,0,25,2020-06-22,2020-06-28,1793.0,2249.0,2622.0,2341.0,2522.0,0.0,2305.4,321.77367822741496,,,,,,,,,
Chile,0,26,2020-06-29,2020-07-05,2691.0,2483.0,2412.0,2318.0,2413.0,0.0,2463.4,140.09746607273092,,,,,,,,,
Chile,0,27,2020-07-06,2020-07-12,2209.0,2401.0,2378.0,2329.0,2460.0,0.0,2355.4,94.42086633790224,,,,,,,,,
Chile,0,28,2020-07-13,2020-07-19,2233.0,2486.0,2424.0,2258.0,2399.0,0.0,2360.0,109.57417578973615,,,,,,,,,
Chile,0,29,2020-07-20,2020-07-26,2350.0,2513.0,2315.0,2505.0,2363.0,0.0,2409.2,92.82348840676049,,,,,,,,,
Chile,0,30,2020-07-27,2020-08-02,2227.0,2284.0,2359.0,2495.0,2391.0,0.0,2351.2,102.79202303680962,,,,,,,,,
Chile,0,31,2020-08-03,2020-08-09,2197.0,2266.0,2269.0,2510.0,2275.0,0.0,2303.4,119.78438963404204,,,,,,,,,
Chile,0,32,2020-08-10,2020-08-16,2121.0,2099.0,2170.0,2324.0,2296.0,0.0,2202.0,102.36454464315268,,,,,,,,,
